"DateTime","NZU Volatility Prices - Percentages","NZUs - April 2022","NZUs - April 2023","NZUs - April 2024","NZUs - April 2025","NZUs - April 2026","NZUs - April 2027","NZUs - April 2028","NZUs - April 2029","NZUs - Spot"
"2021-07-05",,,,,,,,,,44.75
"2021-07-06",,,,,,,,,,45.25
"2021-07-07",,,,,,,,,,46
"2021-07-08",,,,,,,,,,47.5
"2021-07-09",,,,,,,,,,47.8
"2021-07-12",,,,,,,,,,48.05
"2021-07-13",,,,,,,,,,47.7
"2021-07-14",,,,,,,,,,47.3
"2021-07-15",,,,,,,,,,47.55
"2021-07-16",,,,,,,,,,47.8
"2021-07-19",,,,,,,,,,47.9
"2021-07-20",,,,,,,,,,47.82
"2021-07-21",,,,,,,,,,47.97
"2021-07-22",,,,,,,,,,48.1
"2021-07-23",,,,,,,,,,48.12
"2021-07-26",,,,,,,,,,48.05
"2021-07-27",,,,,,,,,,48.5
"2021-07-28",,,,,,,,,,48.6
"2021-07-29",,,,,,,,,,48.6
"2021-07-30",,,,,,,,,,48.6
"2021-08-02",,,,,,,,,,48.6
"2021-08-03",,,,,,,,,,48.8
"2021-08-04",,,,,,,,,,49
"2021-08-05",,,,,,,,,,49.1
"2021-08-06",,,,,,,,,,49.15
"2021-08-09",,,,,,,,,,49.25
"2021-08-10",,,,,,,,,,49.6
"2021-08-11",,,,,,,,,,49.55
"2021-08-12",,,,,,,,,,49.8
"2021-08-13",,,,,,,,,,49.7
"2021-08-16",,,,,,,,,,49.75
"2021-08-17",,,,,,,,,,49.7
"2021-08-18",,,,,,,,,,49.65
"2021-08-19",,,,,,,,,,49.75
"2021-08-20",,,,,,,,,,49.75
"2021-08-23",,,,,,,,,,50.45
"2021-08-24",,,,,,,,,,50.45
"2021-08-25",,,,,,,,,,50.5
"2021-08-26",,,,,,,,,,51
"2021-08-27",,,,,,,,,,51.1
"2021-08-30",,,,,,,,,,51.4
"2021-08-31",,,,,,,,,,51.5
"2021-09-01",,,,,,,,,,59
"2021-09-02",,,,,,,,,,59.5
"2021-09-03",,,,,,,,,,60.1
"2021-09-06",,,,,,,,,,60.6
"2021-09-07",,,,,,,,,,62
"2021-09-08",,,,,,,,,,65.25
"2021-09-09",,,,,,,,,,65.8
"2021-09-10",,,,,,,,,,65
"2021-09-13",,,,,,,,,,61.5
"2021-09-14",,,,,,,,,,63.5
"2021-09-15",,,,,,,,,,64
"2021-09-16",,,,,,,,,,64
"2021-09-17",,,,,,,,,,64
"2021-09-20",,,,,,,,,,64.5
"2021-09-21",,,,,,,,,,64.5
"2021-09-22",,,,,,,,,,64.5
"2021-09-23",,,,,,,,,,64.5
"2021-09-24",,,,,,,,,,64.5
"2021-09-27",,,,,,,,,,64.4
"2021-09-28",,,,,,,,,,63.6
"2021-09-29",,,,,,,,,,64
"2021-09-30",,,,,,,,,,64.5
"2021-10-01",,,,,,,,,,64.5
"2021-10-04",,,,,,,,,,64.5
"2021-10-05",,,,,,,,,,64.5
"2021-10-06",,,,,,,,,,64.7
"2021-10-07",,,,,,,,,,64.5
"2021-10-08",,,,,,,,,,64.6
"2021-10-11",,,,,,,,,,64.5
"2021-10-12",,,,,,,,,,64.5
"2021-10-13",,,,,,,,,,64.85
"2021-10-14",,,,,,,,,,64.8
"2021-10-15",,,,,,,,,,64.8
"2021-10-18",,,,,,,,,,64.75
"2021-10-19",,,,,,,,,,65
"2021-10-20",,,,,,,,,,64.5
"2021-10-21",,,,,,,,,,65
"2021-10-22",,,,,,,,,,65
"2021-10-26",,,,,,,,,,65.1
"2021-10-27",,,,,,,,,,65.1
"2021-10-28",,,,,,,,,,65.25
"2021-10-29",,,,,,,,,,65
"2021-11-01",,,,,,,,,,65.25
"2021-11-02",,,,,,,,,,65.25
"2021-11-03",,,,,,,,,,65.25
"2021-11-04",,,,,,,,,,65.3
"2021-11-05",,,,,,,,,,65.3
"2021-11-08",,,,,,,,,,65.2
"2021-11-09",,,,,,,,,,65.2
"2021-11-10",,,,,,,,,,65.2
