"DateTime","I-KCU20 Closing Price","I-KCU21 Closing Price","I-KOC20-22 Closing Price","I-KOC21-23 Closing Price","KAU Closing Price","KCU Closing Price","KOC20-22 Closing Price","KOC21-23 Closing Price"
"2019-05-13",,,,,28500,21800,28300,
"2019-05-14",,,,,28200,21800,28300,
"2019-05-15",,,,,28000,21800,28300,
"2019-05-16",,,,,27950,21800,28300,
"2019-05-17",,,,,27000,21800,28300,
"2019-05-20",,,,,25500,21800,28300,
"2019-05-21",,,,,25700,21800,28300,
"2019-05-22",,,,,26550,21800,28300,
"2019-05-23",,,,,27000,21800,28300,
"2019-05-24",,,,,27000,21800,28300,
"2019-05-27",,,,,27000,21800,28300,
"2019-05-28",,,,,27300,21800,28300,
"2019-05-29",,,,,27000,21800,28300,
"2019-05-30",,,,,27000,21800,28300,
"2019-05-31",,,,,27500,21800,28300,
"2019-06-03",,,,,27800,21800,28300,
"2019-06-04",,,,,27800,21800,28300,
"2019-06-05",,,,,27000,21800,28300,
"2019-06-07",,,,,27000,21800,28300,
"2019-06-10",,,,,26900,21800,28300,
"2019-06-11",,,,,27000,21800,28300,
"2019-06-12",,,,,27300,21800,28300,
"2019-06-13",,,,,27300,21800,28300,
"2019-06-14",,,,,27400,21800,28300,
"2019-06-17",,,,,27500,21800,28300,
"2019-06-18",,,,,27650,21800,28300,
"2019-06-19",,,,,27750,21800,28300,
"2019-06-20",,,,,27800,21800,28300,
"2019-06-21",,,,,28000,21800,28300,
"2019-06-24",,,,,28000,21800,28300,
"2019-06-25",,,,,28150,21800,28300,
"2019-06-26",,,,,28100,21800,28300,
"2019-06-27",,,,,28100,21800,28300,
"2019-06-28",,,,,28050,21800,28300,
"2019-07-01",,,,,28050,21800,28300,
"2019-07-02",,,,,28100,21800,28300,
"2019-07-03",,,,,28100,21800,28300,
"2019-07-04",,,,,28150,21800,28300,
"2019-07-05",,,,,28150,21800,28300,
"2019-07-08",,,,,28200,21800,28300,
"2019-07-09",,,,,28200,21800,28300,
"2019-07-10",,,,,28200,21800,28300,
"2019-07-11",,,,,28200,21800,28300,
"2019-07-12",,,,,28200,21800,28300,
"2019-07-15",,,,,28300,21800,28300,
"2019-07-16",,,,,28250,21800,28300,
"2019-07-17",,,,,28250,21800,28300,
"2019-07-18",,,,,28350,21800,28300,
"2019-07-19",,,,,28400,21800,28350,
"2019-07-22",,,,,28400,21800,28350,
"2019-07-23",,,,,28600,21800,28350,
"2019-07-24",,,,,28400,21800,28350,
"2019-07-25",,,,,28450,21800,28350,
"2019-07-26",,,,,28500,21800,28350,
"2019-07-29",,,,,28500,21800,28400,
"2019-07-30",,,,,28600,21800,28400,
"2019-07-31",,,,,28600,21800,28400,
"2019-08-01",,,,,28600,21800,28400,
"2019-08-02",,,,,28600,21800,28400,
"2019-08-05",,,,,28600,21800,28400,
"2019-08-06",,,,,28600,21800,28400,
"2019-08-07",,,,,28650,21800,28650,
"2019-08-08",,,,,28700,21800,28650,
"2019-08-09",,,,,28800,21800,28800,
"2019-08-12",,,,,29500,21800,29000,
"2019-08-13",,,,,30000,21800,29000,
"2019-08-14",,,,,30500,21800,30100,
"2019-08-16",,,,,29900,21800,30100,
"2019-08-19",,,,,29900,21800,30100,
"2019-08-20",,,,,29100,21800,30100,
"2019-08-21",,,,,29400,21800,30100,
"2019-08-22",,,,,29450,21800,30100,
"2019-08-23",,,,,29500,21800,30100,
"2019-08-26",,,,,29600,21800,30100,
"2019-08-27",,,,,29700,21800,30100,
"2019-08-28",,,,,29700,21800,30100,
"2019-08-29",,,,,29750,21800,30100,
"2019-08-30",,,,,29950,21800,30100,
"2019-09-02",,,,,29950,21800,30100,
"2019-09-03",,,,,30000,21800,30100,
"2019-09-04",,,,,30000,21800,30100,
"2019-09-05",,,,,30100,21800,30100,
"2019-09-06",,,,,30300,21800,30100,
"2019-09-09",,,,,30750,21800,30500,
"2019-09-10",,,,,30300,21800,30500,
"2019-09-11",,,,,30750,21800,30500,
"2019-09-16",,,,,30800,21800,30500,
"2019-09-17",,,,,31000,21800,30800,
"2019-09-18",,,,,31300,21800,30800,
"2019-09-19",,,,,33500,21800,30800,
"2019-09-20",,,,,34500,21800,33500,
"2019-09-23",,,,,34900,21800,33500,
"2019-09-24",,,,,35600,21800,33500,
"2019-09-25",,,,,37000,21800,33500,
"2019-09-26",,,,,38000,21800,35600,
