"DateTime","Auction Current Vintage - Spot - ARB","Auction Future Vintage - Spot - ARB","CCA - Front December - ICE","CCA - Spot - Evolution Markets","CCO3 - Spot - Evolution Markets","CCO8 - Spot - Evolution Markets","DEBS CCO-0 – Front Month – Nodal","Floor - Spot - ARB","Golden CCO - Spot - Evolution Markets"
"2015-09-11",,,12.75,12.67,10.93,10.75,,12.1,11.9
"2015-09-14",,,12.75,12.67,10.93,10.75,,12.1,11.9
"2015-09-15",,,12.75,12.67,10.93,10.75,,12.1,11.9
"2015-09-16",,,12.75,12.66,10.93,10.75,,12.1,11.9
"2015-09-17",,,12.75,12.66,11.02,10.8,,12.1,11.97
"2015-09-21",,,12.76,12.67,11.02,10.8,,12.1,11.97
"2015-09-22",,,12.76,12.67,11.05,10.8,,12.1,12
"2015-09-23",,,12.76,12.67,11.05,10.8,,12.1,12
"2015-09-24",,,12.76,12.67,11.05,10.8,,12.1,12
"2015-09-25",,,12.76,12.68,11.05,10.8,,12.1,12
"2015-09-28",,,12.77,12.68,11.05,10.8,,12.1,12
"2015-09-29",,,12.78,12.68,11.05,10.8,,12.1,12
"2015-09-30",,,12.77,12.68,11.05,10.8,,12.1,12.03
"2015-10-01",,,12.78,12.72,11.05,10.75,,12.1,12.03
"2015-10-02",,,12.8,12.74,11.05,10.75,,12.1,12.03
"2015-10-05",,,12.81,12.76,11.05,10.75,,12.1,12.03
"2015-10-06",,,12.83,12.77,11.05,10.75,,12.1,12.03
"2015-10-07",,,12.84,12.78,11.05,10.75,,12.1,12.03
"2015-10-08",,,12.85,12.79,11.05,10.75,,12.1,12.03
"2015-10-09",,,12.86,12.8,11.15,10.98,,12.1,12.03
"2015-10-12",,,12.86,12.8,11.15,10.98,,12.1,12.12
"2015-10-13",,,12.86,12.8,11.18,11.05,,12.1,12.12
"2015-10-14",,,12.86,12.8,11.18,11.05,,12.1,12.12
"2015-10-15",,,12.87,12.82,11.18,11.05,,12.1,12.12
"2015-10-16",,,12.88,12.83,11.18,11.05,,12.1,12.12
"2015-10-19",,,12.88,12.83,11.18,11.05,,12.1,12.12
"2015-10-20",,,12.88,12.83,11.5,11.2,,12.1,12.25
"2015-10-21",,,12.88,12.83,11.55,11.2,,12.1,12.25
"2015-10-22",,,12.88,12.82,11.55,11.2,,12.1,12.25
"2015-10-23",,,12.89,12.84,11.55,11.2,,12.1,12.25
"2015-10-26",,,12.88,12.83,11.55,11.2,,12.1,12.25
"2015-10-27",,,12.88,12.83,11.55,11.2,,12.1,12.25
"2015-10-28",,,12.88,12.83,11.55,11.2,,12.1,12.25
"2015-10-29",,,12.89,12.83,11.55,11.2,,12.1,12.25
"2015-10-30",,,12.89,12.83,11.55,11.2,,12.1,12.25
"2015-11-02",,,12.88,12.85,11.55,11.2,,12.1,12.25
"2015-11-03",,,12.88,12.85,11.55,11.2,,12.1,12.25
"2015-11-04",,,12.88,12.85,11.55,11.2,,12.1,12.18
"2015-11-05",,,12.88,12.86,11.55,11.2,,12.1,12.18
"2015-11-06",,,12.89,12.86,11.55,11.2,,12.1,12.18
"2015-11-09",,,12.89,12.86,11.53,11.13,,12.1,12.18
"2015-11-11",,,12.91,12.88,11.53,11.13,,12.1,12.2
