"","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI"
"2018-11-16",-25.189730848135,33.0081617817636,-23.9192240698125,46.4938087333461,-28.379611258653,27.1656184675365,-29.1790228060457,-31.9259097089311,70.5631420435316,-28.6667632713962,56.4906435028105,-15.6275097017038,-20.6664245979568,-30.1671782663543,-7.8216347655997,81.2565296751908,-37.3790726301592,6.90119809708744,-21.9504339552388,19.2379732633583,-40.2445596846389
"2018-11-23",-20.6910967645817,31.0385198986959,-39.977307535631,50.5497561405096,-28.3195784743206,36.3298758634447,-28.9301691281168,-28.589654251449,62.7340596682107,-43.7536408487743,66.4065457701799,-19.6648229078868,-12.2424347117883,-24.8900527184922,-9.60368842858861,80.7253775752435,-36.7246256627167,4.82200850605771,-20.4797370335479,20.2165210006742,-38.9558559571221
"2018-11-30",-21.4891173648352,27.5217360105676,-46.9855456950508,57.023024546134,-22.2338448817868,34.6509174760965,-28.4871700911253,-29.4762340552622,67.2854747408491,-44.0662274236601,54.9520350410468,-14.1146781031048,-8.90782670999086,-25.672543489878,-17.4653577346266,81.2134813879995,-16.5982644643785,-1.29970434870118,-21.5701578356522,13.887558844718,-38.167555849359
"2018-12-07",-20.9076641789765,17.0081462396184,-50.6193243904027,65.6393833511822,-18.6290685154793,35.6743164136858,-28.1657889196279,-27.3739230706485,49.8369135935313,-44.9686445196077,71.0740683937079,-16.7459408326689,-10.4570393703029,-21.3654341940112,-16.6326848468489,77.5104967784364,-15.5859766620963,0.444542483612317,-20.2544966152438,12.7160199096825,-38.1979010475422
"2018-12-14",-27.9944254493998,22.0002909536338,-49.4469070322642,60.0833949116972,-12.3048616190705,35.2906251009345,-27.6281168655309,-33.6913589791422,50.1455210517463,-46.1908971837613,68.5526663799824,-10.4285168044461,-10.4323261885384,-17.9550882758406,-17.9759123478718,76.3946726375134,-16.4657826240875,0.583288732512351,-21.2927552913147,15.6468412677385,-36.8903523744903
"2018-12-21",-30.5022977924722,24.1008115769712,-50.1470246067118,51.4246182561859,-11.2726546115105,37.1116095596751,-20.7150623821377,-38.5575647024504,73.6956404015204,-43.1863522416671,51.2609293513397,-11.4545007579481,-8.40593184025639,-23.3522202105382,-17.6246807579817,71.0213109036038,-16.0038172938398,0.656644984984752,-21.9654108854718,15.6520421749172,-31.7360891262124
"2018-12-28",-30.0950589275111,20.5035730210895,-48.0362864338299,54.6518997720099,-11.8845909694698,28.5069571185072,-13.6464935807957,-35.0586491795523,59.1861971143992,-46.4242141258335,51.4291315292235,-8.1719767057621,-8.74716922900694,-12.2133194034678,-17.7631173973635,76.6536589005831,-15.2427290823234,3.00042752928931,-24.8622312913936,10.425179268433,-32.2111879272248
"2019-01-04",-32.6773006884727,21.2221002942028,-46.9667926653557,35.0229389510791,-10.5544175762531,31.042395003743,2.91107668105648,-37.6779729613444,75.4274191484252,-30.6975423586955,15.891934110678,-1.01690593094647,-9.10084550588143,-12.8260865022354,-15.2843210100637,78.2156330118466,-15.6045454137035,3.74732632706197,-28.4153813820814,10.566856003412,-33.2255675364719
"2019-01-11",-31.898803691482,22.2873882697072,-46.393013754477,32.3712943642582,-10.2274471967675,29.9172277797702,3.94335422899078,-33.7961440868897,71.6718187936311,-27.9129461165565,12.8272857413405,-2.50717344647626,-9.36902294715946,-10.9138179378897,-14.1054185131491,63.6582825381386,-15.8523133072877,7.29886734034149,-27.3904107354985,9.34982335459638,-22.9588306771411
"2019-01-18",-35.1304249158496,22.2296231740606,-48.2067235506515,38.028778571433,-8.36989079855003,26.9413090043955,4.50732851516206,-36.1512799088575,76.062443001686,-26.2763516459567,14.8867493339636,-2.08714698923388,-15.6757001703083,-10.7587136212933,-13.0288579857496,66.6042297944421,-15.613211188606,8.08238775865345,-27.4395785391453,6.85383180023684,-25.4588016398316
