"Date","All_H5","All_H10","All_H15","All_H20"
2020-08-14,12.6889982627732,12.6900935284538,12.6900954338591,12.6900954372171
2020-08-21,12.7334622661967,12.7347217323974,12.7347238747653,12.7347238784603
2020-08-28,12.9442226308255,12.9455135328443,12.945515642225,12.9455156457266
2020-09-04,12.9206304524202,12.922002431601,12.9220047176062,12.9220047214717
2020-09-11,12.9226106232308,12.9239614552626,12.9239636748634,12.9239636785648
2020-09-18,12.8991228976081,12.9004389222815,12.9004410772709,12.9004410808458
2020-09-25,12.8669345818005,12.8684435122348,12.8684460312537,12.8684460354714
2020-10-02,12.8794238828745,12.8809298294408,12.8809323163454,12.8809323204618
2020-10-09,12.9154472475192,12.9169939626899,12.9169964694194,12.9169964734952
2020-10-16,12.8782789392118,12.8799275373751,12.8799300976872,12.8799301016845
2020-10-23,12.8847183332431,12.8864077096593,12.8864103347673,12.8864103388722
2020-10-30,12.7791165944696,12.7808316306711,12.7808342444755,12.7808342484761
2020-11-06,12.6092402180889,12.6104901846985,12.6104923384662,12.6104923421733
2020-11-13,12.4464438229619,12.4474520257226,12.4474536394903,12.4474536420586
2020-11-20,12.4232592836231,12.4242693029684,12.4242708959538,12.4242708984525
2020-11-27,12.2827230532697,12.2836663926017,12.283667812285,12.2836678144076
2020-12-04,12.1487980222149,12.1495403197525,12.1495414455683,12.1495414472638
2020-12-11,12.2268541429092,12.2277332200466,12.2277344910348,12.2277344928688
2020-12-18,12.1855380618462,12.1862850205711,12.1862860653771,12.1862860668501
2020-12-25,12.0585613094105,12.0592284462932,12.059229374128,12.0592293754291
2021-01-01,12.0387460514835,12.039416507246,12.0394174319959,12.0394174332806
2021-01-08,12.0221714750137,12.0228125289806,12.0228134138266,12.0228134150573
2021-01-15,11.8997736956196,11.9003682712277,11.9003690949325,11.900369096082
2021-01-22,12.1226727360659,12.1233997948179,12.1234008639435,12.1234008655258
2021-01-29,12.1300523518317,12.130982881407,12.130984257042,12.1309842590724
2021-02-05,12.4914254314932,12.4927948415696,12.4927970985044,12.4927971022251
2021-02-12,12.0066010303373,12.007602233807,12.0076034330075,12.0076034344477
2021-02-19,11.7216132963432,11.7225642582118,11.7225653163708,11.7225653175714
2021-02-26,12.3396937574311,12.3406923558373,12.3406934428203,12.3406934439795
2021-03-05,12.1997649442725,12.2006965781962,12.2006975146517,12.2006975155663
2021-03-12,11.8049585404814,11.8059584968888,11.8059594894552,11.8059594904161
2021-03-19,11.6644508895008,11.6660212247028,11.6660229846434,11.666022986597
2021-03-26,11.6232276135714,11.6246209551201,11.624622323376,11.6246223246997
2021-04-02,11.5631273331259,11.5643828919893,11.564384115438,11.5643841166069
2021-04-09,11.627544211624,11.6287509852717,11.628752130037,11.6287521311175
2021-04-16,11.5360792716101,11.5375191429503,11.5375204835834,11.5375204848289
2021-04-23,11.6109129818806,11.6123949347121,11.6123963131796,11.6123963144361
