"Date","Net_W100","Net_W150","Net_W200","Net_W250"
2022-09-16,13.5908992158039,13.5908992158039,13.5908992158039,13.5908992158039
2022-09-23,13.5274104359953,13.5274104359953,13.5274104359953,13.5274104359953
2022-09-30,14.2914463057273,14.2914463057273,14.2914463057273,14.2914463057273
2022-10-07,14.1111710389538,14.1111710389538,14.1111710389538,14.1111710389538
2022-10-14,14.1084379175879,14.1084379175879,14.1084379175879,14.1084379175879
2022-10-21,14.1197510730221,14.1197510730221,14.1197510730221,14.1197510730221
2022-10-28,13.9081159871516,13.9081159871516,13.9081159871516,13.9081159871516
2022-11-04,13.9535305506478,13.9535305506478,13.9535305506478,13.9535305506478
2022-11-11,13.5888905220397,13.5888905220397,13.5888905220397,13.5888905220397
2022-11-18,13.4440385487256,13.4440385487256,13.4440385487256,13.4440385487256
2022-11-25,13.2736325666446,13.2736325666446,13.2736325666446,13.2736325666446
2022-12-02,13.2213776699949,13.2213776699949,13.2213776699949,13.2213776699949
2022-12-09,13.3872096795739,13.3872096795739,13.3872096795739,13.3872096795739
2022-12-16,12.2928459089326,12.2928459089326,12.2928459089326,12.2928459089326
2022-12-23,12.2329839011763,12.2329839011763,12.2329839011763,12.2329839011763
2022-12-30,12.2978683278691,12.2978683278691,12.2978683278691,12.2978683278691
2023-01-06,12.3855335178787,12.3855335178787,12.3855335178787,12.3855335178787
2023-01-13,12.2411282543862,12.2411282543862,12.2411282543862,12.2411282543862
2023-01-20,12.8314304579082,12.8314304579082,12.8314304579082,12.8314304579082
2023-01-27,12.7707591185411,12.7707591185411,12.7707591185411,12.7707591185411
2023-02-03,12.5846089644061,12.5846089644061,12.5846089644061,12.5846089644061
2023-02-10,12.2816565745904,12.2816565745904,12.2816565745904,12.2816565745904
2023-02-17,12.2294860079824,12.2294860079824,12.2294860079824,12.2294860079824
2023-02-24,12.1491834143245,12.1491834143245,12.1491834143245,12.1491834143245
2023-03-03,11.9315196813038,11.9315196813038,11.9315196813038,11.9315196813038
2023-03-10,12.0122330589751,12.0122330589751,12.0122330589751,12.0122330589751
2023-03-17,11.8475402403239,11.8475402403239,11.8475402403239,11.8475402403239
2023-03-24,12.0452755885399,12.0452755885399,12.0452755885399,12.0452755885399
2023-03-31,10.669604140572,10.669604140572,10.669604140572,10.669604140572
2023-04-07,10.9664404651135,10.9664404651135,10.9664404651135,10.9664404651135
2023-04-14,11.3014596300436,11.3014596300436,11.3014596300436,11.3014596300436
2023-04-21,10.8971770000071,10.8971770000071,10.8971770000071,10.8971770000071
2023-04-28,10.8543001859793,10.8543001859793,10.8543001859793,10.8543001859793
2023-05-05,10.5702434414299,10.5702434414299,10.5702434414299,10.5702434414299
2023-05-12,10.4972285068577,10.4972285068577,10.4972285068577,10.4972285068577
2023-05-19,10.496656369931,10.496656369931,10.496656369931,10.496656369931
2023-05-26,10.4887984337086,10.4887984337086,10.4887984337086,10.4887984337086
2023-06-02,10.2320192641636,10.2320192641636,10.2320192641636,10.2320192641636
2023-06-09,10.3691473925066,10.3691473925066,10.3691473925066,10.3691473925066
2023-06-16,9.95241377510979,9.95241377510979,9.95241377510979,9.95241377510979
2023-06-23,12.6739527405208,12.6739527405208,12.6739527405208,12.6739527405208
2023-06-30,11.2276515523635,11.2276515523635,11.2276515523635,11.2276515523635
2023-07-07,10.7053654704365,10.7053654704365,10.7053654704365,10.7053654704365
2023-07-14,10.3580123335936,10.3580123335936,10.3580123335936,10.3580123335936
2023-07-21,9.72261554567927,9.72261554567927,9.72261554567927,9.72261554567927
2023-07-28,8.20404702329226,8.20404702329226,8.20404702329226,8.20404702329226
2023-08-04,9.20212506347367,9.20212506347367,9.20212506347367,9.20212506347367
2023-08-11,8.86009133172955,8.86009133172955,8.86009133172955,8.86009133172955
2023-08-18,8.57870123740631,8.57870123740631,8.57870123740631,8.57870123740631
2023-08-25,8.53613640677173,8.53613640677173,8.53613640677173,8.53613640677173
2023-09-01,8.48935528610547,8.48935528610547,8.48935528610547,8.48935528610547
2023-09-08,8.39191587855441,8.39191587855441,8.39191587855441,8.39191587855441
