"","New Zealand Emissions Trading System","European Union Emissions Trading System","Korean Emissions Trading System","United Kingdom Emissions Trading Scheme","China National Emissions Trading System","Hubei (Pilot) Emissions Trading System"
"374",11.2649679359855,15.83,NA,NA,NA,NA
"375",11.2822553143117,15.34,NA,NA,NA,NA
"376",11.0425278894615,14.98,NA,NA,NA,NA
"377",10.8597540336229,14.54,NA,NA,NA,NA
"378",10.9393646644314,14.53,NA,NA,NA,NA
"379",11.000628607349,13.25,NA,NA,NA,NA
"380",11.0226752175905,12.35,NA,NA,NA,NA
"381",10.1433732219463,12.82,NA,NA,NA,NA
"382",10.4178462235307,13.36,NA,NA,NA,NA
"383",10.7320702879057,13.03,NA,NA,NA,NA
"384",10.731456043956,13.3,NA,NA,NA,NA
"385",10.6959498003423,13.13,NA,NA,NA,NA
"386",10.7087783425667,13.17,NA,NA,NA,NA
"387",10.7369867720323,13.4,NA,NA,NA,NA
"388",10.6690568438096,13.08,NA,NA,NA,NA
"389",10.5684919574938,12.87,NA,NA,NA,NA
"390",10.6970729987069,12.5,NA,NA,NA,NA
"391",10.7520529331837,11.89,NA,NA,NA,NA
"392",10.6021555763824,12.24,NA,NA,NA,NA
"393",10.7227488151659,11.84,NA,NA,NA,NA
"394",10.7950140156259,12.15,NA,NA,NA,NA
"395",10.8182415874724,12.27,NA,NA,NA,NA
"396",10.0029949086553,12.04,NA,NA,NA,NA
"397",10.1071234037402,12.18,NA,NA,NA,NA
"398",10.0162915585591,12.56,NA,NA,NA,NA
"399",9.94547959978432,12.92,NA,NA,NA,NA
"400",10.0162915585591,12.78,NA,NA,NA,NA
"401",9.99037072701011,12.74,NA,NA,NA,NA
"402",9.95442552170785,12.68,NA,NA,NA,NA
"403",10.0593867410011,12.25,NA,NA,NA,NA
"404",10.1034692635423,12.33,NA,NA,NA,NA
"405",10.1442190173552,12.09,NA,NA,NA,NA
"406",9.65619041761486,11.9,NA,NA,NA,NA
"407",9.20563311589343,11.55,NA,NA,NA,NA
"408",8.80950944307005,11.24,NA,NA,NA,NA
"409",8.64826442364649,11.17,NA,NA,NA,NA
"410",8.16326530612245,10.76,NA,NA,NA,NA
"411",7.99768183135323,10.57,NA,NA,NA,NA
"412",8.05651234748088,11.22,NA,NA,NA,NA
"413",7.90604411343455,11.43,NA,NA,NA,NA
"414",8.20198482194979,12.1,NA,NA,NA,NA
"415",8.21973907447493,12.28,NA,NA,NA,NA
"416",8.10265282583622,12.34,NA,NA,NA,NA
"417",8.76073334880483,12.19,NA,NA,NA,NA
"418",8.76785506909767,12.64,NA,NA,NA,NA
"419",8.75531059823171,12.18,NA,NA,NA,NA
"420",8.67561724883377,12.32,NA,NA,NA,NA
"421",8.78603422533594,12.4,NA,NA,NA,NA
"422",8.85929357266937,12.7,NA,NA,NA,NA
"423",8.80778308675379,13.02,NA,NA,NA,NA
"424",9.41278065630397,12.84,NA,NA,NA,NA
"425",9.48926291352292,13.02,NA,NA,NA,NA
"426",9.53519566104858,13.05,NA,NA,NA,NA
"427",9.66312056737589,13.25,NA,NA,NA,NA
"428",9.59881129271917,12.81,NA,NA,NA,NA
"429",9.65447154471545,12.71,NA,NA,NA,NA
"430",9.64582213462342,12.42,NA,NA,NA,NA
"431",9.54153373508212,12.26,NA,NA,NA,NA
"432",9.5139911634757,12.04,NA,NA,NA,NA
"433",9.5488677348785,12.29,NA,NA,NA,NA
"434",9.67065868263473,12.15,NA,NA,NA,NA
"435",9.73067421823221,11.76,NA,NA,NA,NA
"436",9.75595022351093,11.76,NA,NA,NA,NA
"437",8.76031067493528,11.89,NA,NA,NA,NA
"438",8.67620751341682,12.06,NA,NA,NA,NA
"439",8.64116878489132,12.23,NA,NA,NA,NA
"440",9.16741809437932,12.01,NA,NA,NA,NA
"441",9.19505577328912,11.7,NA,NA,NA,NA
"442",9.16576511599952,11.78,NA,NA,NA,NA
"443",9.01833234772324,11.69,NA,NA,NA,NA
"444",8.83801796580701,11.24,NA,NA,NA,NA
"445",8.7774835961782,11.3,NA,NA,NA,NA
"446",8.80840986541905,10.75,NA,NA,NA,NA
"447",8.86164216398396,10.71,NA,NA,NA,NA
"448",8.74777720415304,10.39,NA,NA,NA,NA
"449",8.00363285462905,10.81,NA,NA,NA,NA
"450",8.02093406905967,10.61,NA,NA,NA,NA
"451",8.05760329161666,NA,NA,NA,NA,NA
"452",8.04564907275321,10.03,NA,NA,NA,NA
"453",8.11931360128988,10.12,NA,NA,NA,NA
"454",8.10298258720763,10.4,NA,NA,NA,NA
"455",8.11557499712214,10.37,NA,NA,NA,NA
"456",7.67859197055102,10.64,NA,NA,NA,NA
"457",7.63904783703365,10.6,NA,NA,NA,NA
